time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	508.205045	-9.250000	2057.610320	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	425.167319	2.375380	2131.660951	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	963.260216	553.290666	2168.505779	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	961.258305	557.589841	2093.036765	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	973.755011	556.694146	2125.176973	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	950.845483	546.593973	2086.586718	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	783.793554	434.727716	2085.583141	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	951.458389	546.406864	2086.586372	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	660.779986	0.000000	2086.463551	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	661.500216	0.000000	2086.463572	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	948.175888	541.434147	2086.537463	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	576.034059	0.000000	2091.163731	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	664.076515	0.000000	2086.741279	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	666.341643	0.000000	2086.741178	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	578.302872	0.000000	2091.804847	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	669.052925	0.000000	2044.042087	4929.435855	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	400.465253	0.000000	2102.344447	2184.319700	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	646.540615	0.000000	2085.424147	4853.894229	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	646.048815	0.000000	2085.423784	4846.998588	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	425.744112	465.829152	21.372881	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	442.356938	470.576733	21.372881	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	433.966572	473.214782	21.372881	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	428.313746	467.627371	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	927.539532	492.445985	36.401066	4660.399376	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	443.966768	482.425842	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	442.564298	480.123390	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	456.379784	492.952092	21.372881	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	443.943650	479.615972	21.372881	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	441.876589	477.648929	21.372881	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	434.004600	469.876961	21.372881	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.0	428.118105	464.418993	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	406.056298	442.457212	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	393.592370	429.093291	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
