time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	522.668308	2.710784	3102.469504	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	512.414504	-7.443068	3102.468698	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.363627	0.527667	0.897005	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.565987	-9.574693	0.897005	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	986.231698	542.320421	3065.519313	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-31.459970	-9.777197	0.613327	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	977.835784	532.124485	3065.518880	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	988.740793	543.136537	3064.891147	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	-8.784548	0.000000	1.547984	26.883276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	979.327129	0.000000	10001.635095	25.713874	15.000000	0.000000	0	0	0	0	0	1	0	1
1.0	15750.438105	15298.219887	3114.360028	1874.833062	34.000000	0.000000	1	0	1	0	1	0	0	0
1.1	-8.382452	0.000000	1.606901	24.183276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	967.796453	0.000000	10001.492043	23.433276	13.000000	0.000000	0	0	0	0	0	1	0	1
1.3	-17.674552	0.000000	1.491650	22.683276	13.000000	0.000000	0	0	0	0	0	1	0	0
1.4	959.303467	0.000000	10001.490612	21.933276	12.000000	0.000000	0	0	0	0	0	1	0	1
1.5	18025.955116	17572.042557	3116.418275	1874.833062	32.000000	0.000000	1	0	1	0	1	0	0	0
1.6	-6.549483	0.000000	1.494105	18.483276	11.000000	0.000000	0	0	0	0	0	0	0	0
1.7	-16.761997	0.000000	1.494078	16.533276	11.000000	0.000000	0	0	0	0	0	0	0	0
1.8	-15.973491	0.000000	1.487969	14.733276	10.000000	0.000000	0	0	0	0	0	0	0	0
1.9	952.530231	496.578636	3121.083539	1874.833062	30.000000	0.000000	1	0	1	0	1	0	0	0
2.0	938.030439	484.005665	3066.997403	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.1	939.947503	486.022725	3066.997424	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	767.831196	761.418888	20.000000	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
2.3	768.954174	761.641891	20.000000	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.4	768.529767	761.317492	20.000000	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.5	769.412116	761.299869	20.000000	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.6	768.914157	760.901938	20.000000	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.7	769.789785	760.877526	20.000000	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	768.934207	760.121950	20.000000	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.9	769.705726	759.993550	20.000000	504.901058	35.000000	0.000000	0	0	1	0	0	0	0	0
3.0	770.160561	759.415313	0.000000	504.901058	34.000000	0.000000	0	0	0	0	0	0	0	0
3.1	774.270750	762.796687	20.000000	504.901058	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	764.171348	751.797288	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
3.3	762.495019	750.220971	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
3.4	761.939659	748.765629	20.000000	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
3.5	758.371071	745.297064	20.000000	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
3.6	719.237335	0.000000	3075.229618	4527.691721	32.000000	0.000000	1	0	1	0	0	0	0	0
3.7	710.929533	0.000000	3075.228653	4447.891626	31.000000	0.000000	1	0	1	0	0	0	0	0
