time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	445.193945	2.793046	2322.264512	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	434.938528	-7.362413	2322.263641	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	798.093573	584.266133	2352.131527	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	834.047919	460.319689	2353.002776	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	494.585004	280.319464	2349.173798	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	827.799815	591.727809	2273.526111	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	777.954420	569.357142	2279.870739	258.101642	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	654.719343	252.695397	2285.187592	2087.289980	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	813.168445	444.803959	2279.950779	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	523.010068	0.000000	2279.982047	3383.768444	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	523.126817	0.000000	2279.979889	3378.348162	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	625.742721	0.000000	2276.439250	4412.703800	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	529.363322	0.000000	2280.259727	3418.445930	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	623.945371	0.000000	2276.130845	4389.729300	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	527.136657	0.000000	2280.537742	3390.865739	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	618.266700	0.000000	2275.826871	4314.671642	32.000000	0.000000	1	0	1	0	0	0	0	0
1.6	634.917299	449.946744	27.501591	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.7	550.642475	0.000000	2280.576039	3521.265048	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	376.695668	0.000000	2247.513354	1790.634099	30.000000	0.000000	1	0	0	0	0	0	0	0
1.9	362.507725	403.781094	16.422450	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	554.308745	0.000000	2276.070580	3726.530529	39.000000	0.000000	1	0	1	0	0	0	0	0
2.1	764.313528	440.095299	29.655087	3569.683918	38.000000	0.000000	0	0	1	0	0	0	0	0
2.2	391.240874	430.749292	16.422450	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	381.532422	421.140865	16.422450	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.4	380.002582	418.711049	16.422450	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.5	354.582121	349.667845	13.303503	446.652345	36.000000	0.000000	0	0	0	0	0	0	0	0
2.6	347.050549	385.387368	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.7	345.638179	384.075023	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.8	347.178660	384.715529	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.9	342.840340	380.477233	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
3.0	341.088238	377.825154	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	338.830895	375.667834	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.2	339.450717	375.387662	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	333.950524	369.987495	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.4	330.968486	366.105481	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.5	324.781481	360.018499	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
