time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	511.380416	-9.250000	2089.523680	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	428.210473	2.349444	2162.535415	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	968.224199	556.323576	2188.134197	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	967.628814	560.786692	2125.295466	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	979.064138	559.919429	2146.358236	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	957.267167	549.819257	2119.076581	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	790.224302	437.952160	2118.108970	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	957.880076	549.632149	2119.076247	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	664.012989	0.000000	2118.957827	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	664.732868	0.000000	2118.957848	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	954.591159	544.652843	2119.029091	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	579.256277	0.000000	2123.489559	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	667.307121	0.000000	2119.225602	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	669.577599	0.000000	2119.225504	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	581.513503	0.000000	2124.107698	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	672.282806	0.000000	2076.441714	4929.435855	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	403.643921	0.000000	2134.269574	2184.319700	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	649.779609	0.000000	2117.955674	4853.894229	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	649.289194	0.000000	2117.955324	4846.998588	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	429.016590	469.018394	22.221883	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	445.617970	473.754530	22.221883	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	437.241817	476.406791	22.221883	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	431.484916	470.798541	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	930.752878	495.628556	36.711478	4660.399376	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	447.145704	485.604779	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	445.741083	483.300175	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	459.667379	496.156452	22.221883	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	447.228154	482.817241	22.221883	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	457.108474	493.563375	22.221883	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	438.943375	475.498294	22.221883	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.0	407.830192	0.000000	2082.828929	2148.268310	12.000000	0.000000	1	0	0	0	0	0	0	0
3.1	425.581442	462.035027	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	404.806066	440.359654	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
