time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	251.156092	2.543361	2179.722554	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	420.941871	-7.607223	2183.922670	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	487.926731	266.529851	2139.932982	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	467.155884	266.439534	2210.992403	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	466.950628	266.334247	2210.992122	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	467.710577	266.194032	2210.990642	258.101642	37.000000	0.000000	1	0	1	0	1	0	0	0
0.6	797.620141	575.114576	2136.152082	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	638.195673	249.823138	2145.498241	2087.289980	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	465.899716	270.197201	2138.371661	258.101642	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	560.962956	0.000000	2132.471122	3902.704816	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	441.228490	0.000000	2135.226194	2694.036301	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	439.216614	0.000000	2135.225455	2677.115688	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	552.887752	0.000000	2132.006191	3807.538818	34.000000	0.000000	1	0	1	0	0	0	0	0
1.3	445.727874	0.000000	2135.439912	2728.486154	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	549.286987	0.000000	2131.765696	3775.541629	33.000000	0.000000	1	0	1	0	0	0	0	0
1.5	443.769220	0.000000	2135.658887	2700.600160	32.000000	0.000000	1	0	1	0	0	0	0	0
1.6	546.807156	0.000000	2131.523690	3744.050323	32.000000	0.000000	1	0	1	0	0	0	0	0
1.7	547.122906	0.000000	2131.522704	3728.262681	31.000000	0.000000	1	0	1	0	0	0	0	0
1.8	455.364195	0.000000	2136.100735	2818.820877	31.000000	0.000000	1	0	1	0	0	0	0	0
1.9	626.908028	0.000000	2126.612556	4529.443844	30.000000	0.000000	1	0	1	0	0	0	0	0
2.0	468.728653	0.000000	2136.510732	2939.797696	30.000000	0.000000	1	0	1	0	0	0	0	0
2.1	491.133958	0.000000	2134.159987	3235.365024	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	491.673010	0.000000	2134.159729	3230.992378	38.000000	0.000000	1	0	1	0	0	0	0	0
2.3	246.139271	285.724001	24.684845	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.4	465.634479	0.000000	2134.461971	2962.746514	37.000000	0.000000	1	0	1	0	0	0	0	0
2.5	272.405391	311.183472	24.684845	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.6	277.242672	315.120773	24.684845	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.7	1712.046726	1385.549102	37.573957	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	340.497546	377.507953	24.684845	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.9	334.795301	373.149508	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
3.0	338.651887	374.825311	24.684845	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.1	328.745044	365.018489	24.684845	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	2344.769897	2380.143327	24.684845	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.3	325.304920	360.778368	24.684845	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.4	323.170574	357.744034	24.684845	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.5	320.605536	355.279001	24.684845	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.6	319.505234	353.278711	24.684845	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
3.7	316.844386	350.717880	24.684845	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
