time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	538.194296	-9.250000	2359.010563	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	455.676234	1.839679	2443.963924	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-22.012177	0.000000	12.753914	20.883276	19.000000	0.000000	0	0	0	1	0	0	0	0
0.3	-12.584549	0.410081	1.037528	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.786952	-9.692322	1.037528	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-21.989391	-9.794761	1.037528	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.160546	-9.897383	1.355717	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.342514	0.000000	1.355575	15.633276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	981.534513	545.090728	2399.781546	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	-9.901228	0.000000	1.179301	13.683276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	981.632662	543.525069	2396.815500	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	661.549152	0.000000	2416.253528	4618.147140	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	986.301787	537.282666	2388.878528	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	673.653137	0.000000	2415.239467	4628.590204	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	515.836733	0.000000	2357.305825	3083.367396	31.000000	0.000000	1	0	0	0	0	0	0	0
1.5	504.053700	0.000000	2357.303943	3068.485784	30.000000	0.000000	1	0	0	0	0	0	0	0
1.6	520.486016	0.000000	2417.488284	3079.552726	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	911.337057	749.428366	28.784653	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	690.235747	681.457357	28.784653	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	690.005712	681.327316	28.784653	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	706.327180	685.765794	28.784653	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	696.592527	675.131304	28.784653	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	696.785797	675.424587	28.784653	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	613.283467	457.110712	16.508467	1957.533612	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	606.202063	0.000000	2355.933049	4117.899553	34.000000	0.000000	1	0	0	0	0	0	0	0
2.5	453.810628	0.000000	2340.499136	2350.939543	14.000000	0.000000	1	0	0	0	0	1	0	0
2.6	539.906555	0.000000	2358.305445	3345.970790	33.000000	0.000000	1	0	0	0	0	0	0	0
2.7	527.668975	0.000000	2358.305157	3323.472683	33.000000	0.000000	1	0	0	0	0	0	0	0
2.8	526.025341	0.000000	2358.304744	3306.904242	33.000000	0.000000	1	0	0	0	0	0	0	0
2.9	523.748861	0.000000	2358.304207	3273.904770	32.000000	0.000000	1	0	0	0	0	0	0	0
3.0	478.075988	0.000000	2341.985786	2567.598990	12.000000	0.000000	1	0	0	0	0	0	0	0
3.1	514.908588	549.623989	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.2	495.074622	529.890055	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
