time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	605.927154	-9.250000	3039.744469	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	522.414834	2.539091	3108.305666	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.647047	0.514427	1.087044	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.858227	-9.596753	1.087044	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	988.885872	544.026643	3064.682602	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-12.040454	0.185307	0.897005	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.215608	-9.917053	1.172098	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.395748	0.000000	1.171436	15.483276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.617906	0.000000	1.172086	14.204745	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	963.012449	0.000000	10001.170830	13.533276	14.000000	0.000000	0	0	0	0	0	0	0	1
1.0	-18.986307	0.000000	1.171437	12.633276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.1	713.383922	0.000000	3076.625893	4367.178930	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	704.242964	0.000000	3076.625418	4365.363955	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	704.059164	0.000000	3076.625410	4365.215891	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	704.615995	0.000000	3076.624898	4364.733993	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	788.587904	0.000000	3072.754891	5201.435345	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	561.508908	0.000000	3081.475803	2927.087860	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	738.185774	731.029887	20.000000	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	964.242628	802.151821	20.000000	2075.700691	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	559.988991	600.033975	20.000000	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	1026.170272	592.951148	32.512467	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	756.957317	748.148890	20.000000	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	747.356611	737.648295	20.000000	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	798.232326	0.000000	3067.849526	5355.319135	35.000000	0.000000	1	0	1	0	0	0	0	0
2.4	684.559614	528.638259	14.115331	1957.533612	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	674.193005	517.371636	14.115331	1957.533612	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	605.040539	0.000000	3039.614781	3431.345675	34.000000	0.000000	1	0	0	0	0	0	0	0
2.7	604.079477	0.000000	3039.614538	3414.068659	33.000000	0.000000	1	0	0	0	0	0	0	0
2.8	1547.144670	0.000000	13018.344473	2717.346464	13.000000	0.000000	1	0	0	0	0	0	0	1
2.9	583.823163	619.399717	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	570.993062	606.669644	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	576.906031	611.726242	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.2	556.964045	590.884272	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
