time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	246.555469	3.209773	2126.756380	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	236.291936	-6.953822	2126.755714	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	478.999478	261.909112	2096.272748	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	479.812250	261.821710	2096.272264	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	479.601027	261.710440	2096.272135	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	480.338905	261.548074	2096.271458	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	480.132448	261.441376	2096.270785	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	480.825149	261.233810	2096.270042	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	419.985915	-4.576018	2092.078813	2498.522726	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	409.372638	-15.089276	2092.078760	2498.522726	36.000000	0.000000	1	0	1	0	0	0	0	0
1.0	419.479130	-5.882781	2092.078751	2498.522726	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	459.425924	239.394382	2088.319737	551.601859	35.000000	0.000000	1	0	1	0	0	0	0	0
1.2	419.186648	-5.975228	2092.078653	2498.522726	35.000000	0.000000	1	0	1	0	0	0	0	0
1.3	460.132742	239.301227	2088.319673	551.601859	34.000000	0.000000	1	0	1	0	0	0	0	0
1.4	419.852520	-6.109333	2092.078592	2498.522726	34.000000	0.000000	1	0	1	0	0	0	0	0
1.5	420.692934	-6.168915	2092.078582	2498.522726	33.000000	0.000000	1	0	1	0	0	0	0	0
1.6	460.621485	239.089984	2088.319641	551.601859	33.000000	0.000000	1	0	1	0	0	0	0	0
1.7	409.859283	-6.303144	2079.500941	2498.522726	33.000000	0.000000	1	0	1	0	0	0	0	0
1.8	403.910340	0.000000	2098.748292	2337.156690	32.000000	0.000000	1	0	1	0	0	0	0	0
1.9	405.678341	0.000000	2098.748339	2347.146452	32.000000	0.000000	1	0	1	0	0	0	0	0
2.0	404.815607	0.000000	2098.746620	2335.577025	31.000000	0.000000	1	0	1	0	0	0	0	0
2.1	406.273834	0.000000	2098.745367	2344.945694	31.000000	0.000000	1	0	1	0	0	0	0	0
2.2	406.156143	0.000000	2098.743264	2343.755018	30.000000	0.000000	1	0	1	0	0	0	0	0
2.3	405.350953	0.000000	2098.743866	2332.984805	30.000000	0.000000	1	0	1	0	0	0	0	0
2.4	445.387959	238.516088	2088.319682	446.652345	39.000000	0.000000	1	0	1	0	0	0	0	0
2.5	407.106892	448.067624	14.960710	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.6	446.015624	238.343757	2088.319674	446.652345	38.000000	0.000000	1	0	1	0	0	0	0	0
2.7	407.706190	447.866923	14.960710	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.8	317.235317	357.428389	14.960710	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.9	317.671839	356.964940	14.960710	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
3.0	319.012938	357.406070	14.960710	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
3.1	319.522015	358.015178	14.960710	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
3.2	319.487221	357.080413	14.960710	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.3	318.479516	356.172733	14.960710	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.4	318.519766	356.313001	14.960710	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
3.5	319.063270	355.956467	14.960710	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.6	318.701366	355.694562	14.960710	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
3.7	319.542538	355.635744	14.960710	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.8	318.616048	354.809271	14.960710	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.9	319.397905	354.691153	14.960710	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.0	317.628697	353.021972	14.960710	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
4.1	317.161745	351.655048	14.960710	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
4.2	315.449619	350.042950	14.960710	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
4.3	315.008233	348.701589	14.960710	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
