time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.282223	1.570796	6.824000	-5.880000	1.000000
0.400000	-1.750000	192.964623	1.570796	6.824000	0.000000	4.000000
0.500000	-1.750000	193.632248	1.570796	6.530000	-2.940000	3.000000
0.600000	-1.750000	194.255697	1.570796	5.942000	-5.880000	1.000000
0.700000	-1.750000	194.820264	1.570796	5.354000	-5.880000	1.000000
0.800000	-1.750101	195.360603	1.571569	5.452000	0.980000	2.000000
0.900000	-1.751446	195.910741	1.575348	5.550000	0.980000	2.000000
1.000000	-1.755715	196.470660	1.581818	5.648000	0.980000	2.000000
1.100000	-1.764386	197.040324	1.590435	5.746000	0.980000	2.000000
1.200000	-1.778678	197.619668	1.600614	5.844000	0.980000	2.000000
1.300000	-1.799511	198.208610	1.611738	5.942000	0.980000	2.000000
1.400000	-1.827460	198.807055	1.623151	6.040000	0.980000	2.000000
1.500000	-1.862732	199.414940	1.634194	6.138000	0.980000	2.000000
1.600000	-1.905111	200.032203	1.644213	6.236000	0.980000	2.000000
1.700000	-1.953947	200.658826	1.652540	6.334000	0.980000	2.000000
1.800000	-2.008115	201.294851	1.658481	6.432000	0.980000	2.000000
1.900000	-2.065980	201.940391	1.661324	6.530000	0.980000	2.000000
2.000000	-2.125365	202.595632	1.660371	6.628000	0.980000	2.000000
2.100000	-2.183546	203.260816	1.654976	6.726000	0.980000	2.000000
2.200000	-2.237255	203.936198	1.644516	6.824000	0.980000	2.000000
2.300000	-2.282646	204.622001	1.628344	6.922000	0.980000	2.000000
2.400000	-2.315067	205.313427	1.605961	6.922000	0.000000	4.000000
2.500000	-2.329773	206.005445	1.577084	6.922000	0.000000	4.000000
2.600000	-2.322021	206.702465	1.541139	7.020000	0.980000	2.000000
2.700000	-2.286024	207.408395	1.497398	7.118000	0.980000	2.000000
2.800000	-2.215304	208.121525	1.445375	7.216000	0.980000	2.000000
2.900000	-2.103920	208.834359	1.385120	7.216000	0.000000	4.000000
3.000000	-1.947041	209.538549	1.317025	7.216000	0.000000	4.000000
3.100000	-1.738352	210.234253	1.240755	7.314000	0.980000	2.000000
3.200000	-1.470780	210.919984	1.155944	7.412000	0.980000	2.000000
3.300000	-1.134215	211.596559	1.061805	7.706000	2.940000	0.000000
