time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.149848	1.570796	6.530000	-2.940000	3.000000
0.400000	-1.750000	192.788058	1.570796	6.236000	-2.940000	3.000000
0.500000	-1.750000	193.411658	1.570796	6.236000	0.000000	4.000000
0.600000	-1.750000	194.035258	1.570796	6.236000	0.000000	4.000000
0.700000	-1.750000	194.644125	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750028	195.226664	1.571112	5.801640	0.980000	2.000000
0.900000	-1.751032	195.811745	1.574456	5.899640	0.980000	2.000000
1.000000	-1.755015	196.406601	1.580959	5.997640	0.980000	2.000000
1.100000	-1.763785	197.011205	1.589958	6.095640	0.980000	2.000000
1.200000	-1.778825	197.625497	1.600764	6.193640	0.980000	2.000000
1.300000	-1.801233	198.249378	1.612664	6.291640	0.980000	2.000000
1.400000	-1.831418	198.877813	1.624818	6.291640	0.000000	4.000000
1.500000	-1.869416	199.510760	1.636477	6.389640	0.980000	2.000000
1.600000	-1.914779	200.148109	1.646886	6.389640	0.000000	4.000000
1.700000	-1.966148	200.785003	1.655225	6.389640	0.000000	4.000000
1.800000	-2.021970	201.421523	1.660773	6.389640	0.000000	4.000000
1.900000	-2.080230	202.057825	1.662784	6.389640	0.000000	4.000000
2.000000	-2.138892	202.699039	1.660542	6.487640	0.980000	2.000000
2.100000	-2.195395	203.350283	1.653335	6.585640	0.980000	2.000000
2.200000	-2.246143	204.011824	1.640521	6.683640	0.980000	2.000000
2.300000	-2.286732	204.678944	1.621701	6.683640	0.000000	4.000000
2.400000	-2.312653	205.346786	1.596525	6.683640	0.000000	4.000000
2.500000	-2.319510	206.015084	1.564622	6.683640	0.000000	4.000000
2.600000	-2.302682	206.683191	1.525580	6.683640	0.000000	4.000000
2.700000	-2.257920	207.342159	1.479344	6.528239	-1.554008	7.000000
2.800000	-2.181300	207.990387	1.426038	6.528239	0.000000	4.000000
2.900000	-2.067835	208.633164	1.365236	6.528239	0.000000	4.000000
3.000000	-1.913126	209.267249	1.296919	6.528239	0.000000	4.000000
3.100000	-1.713212	209.888533	1.221343	6.528239	0.000000	4.000000
3.200000	-1.471096	210.478644	1.141118	6.234239	-2.940000	3.000000
3.300000	-1.188367	211.034057	1.058742	6.234239	0.000000	4.000000
3.400000	-0.860466	211.564051	0.975112	6.234239	0.000000	4.000000
