time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	454.644711	2.668018	2418.595193	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	444.391752	-7.485000	2418.594492	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	843.561592	620.918352	2443.406051	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	856.532610	610.818167	2378.667625	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	831.366135	608.233807	2440.350562	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	826.472752	598.140267	2380.210654	258.101642	37.000000	0.000000	1	0	0	0	0	0	0	0
0.6	842.466302	617.520590	2438.106667	258.101642	36.000000	0.000000	1	0	1	0	1	0	0	0
0.7	843.178882	464.484937	2386.211015	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	999.601785	564.021262	2386.923537	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	656.255007	0.000000	2384.963616	4610.190930	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	998.307714	561.933257	2386.896721	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	669.306454	0.000000	2385.635739	4729.962082	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	668.057493	0.000000	2385.635790	4722.048673	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	656.770307	472.595714	28.504731	2117.032871	32.000000	0.000000	0	0	1	0	0	0	0	0
1.4	589.348570	0.000000	2388.813773	3806.707680	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	417.139523	0.000000	2354.211053	2102.136408	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	409.811215	0.000000	2354.210664	2111.625838	30.000000	0.000000	1	0	0	0	0	0	0	0
1.7	341.295028	321.345869	9.653792	551.601859	30.000000	0.000000	0	0	0	0	0	0	0	0
1.8	775.985790	452.536491	29.740933	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	589.696148	0.000000	2382.387554	3867.991576	38.000000	0.000000	1	0	1	0	0	0	0	0
2.0	778.269661	0.000000	2380.426664	5874.578882	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	776.985498	0.000000	2380.426036	5843.386209	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	389.207180	374.351512	30.155360	446.652345	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	766.962444	441.169316	30.051998	3569.683918	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	383.073151	366.409232	30.155360	446.652345	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	370.921208	365.351834	10.562610	446.652345	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	428.282366	0.000000	2344.042881	2074.594130	14.000000	0.000000	1	0	0	0	0	1	0	0
2.7	384.598759	378.150666	10.077139	446.652345	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	357.690931	395.189089	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.9	357.313492	393.911679	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	353.250846	389.949063	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	2312.048863	0.000000	21625.068666	1889.467351	12.000000	0.000000	1	0	0	0	0	0	0	2
3.2	417.839153	453.455092	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	401.988452	436.704398	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	390.871000	425.686963	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
