time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	526.681248	-9.250000	2243.301260	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	433.955687	0.630000	2228.055043	2384.722251	30.000000	0.000000	1	0	0	0	0	0	0	0
0.2	-33.155330	-9.487790	0.767796	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	987.962843	565.882977	2277.977352	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	988.753858	565.773989	2277.977178	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	988.549292	565.669422	2277.977151	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	989.349124	565.569250	2277.976919	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	990.692895	566.012785	2277.978164	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	681.623241	0.000000	2278.653751	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	987.741909	562.267150	2277.949899	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	654.969775	471.920565	37.220369	2117.032871	34.000000	0.000000	0	0	1	0	0	0	0	0
1.1	646.189218	462.240046	37.220369	2117.032871	33.000000	0.000000	0	0	1	0	0	0	0	0
1.2	993.586347	566.483715	2276.516536	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	605.281300	0.000000	2282.544095	4181.152776	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	612.681671	0.000000	2234.909958	4178.548145	31.000000	0.000000	1	0	0	0	0	0	0	0
1.5	447.126490	0.000000	2238.425796	2605.184426	30.000000	0.000000	1	0	0	0	0	0	0	0
1.6	602.760697	0.000000	2234.808293	4175.124920	30.000000	0.000000	1	0	0	0	0	0	0	0
1.7	786.114165	462.062818	38.161528	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	657.185161	0.000000	2273.532593	4652.411400	38.000000	0.000000	1	0	1	0	0	0	0	0
1.9	643.632275	0.000000	2273.532343	4632.313433	38.000000	0.000000	1	0	1	0	0	0	0	0
2.0	876.347961	702.168388	24.919767	2075.700691	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	464.535479	491.489326	24.919767	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	463.042876	490.096728	24.919767	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	451.041765	489.357565	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	448.930103	487.345909	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	879.963783	502.744327	14.392724	4179.349692	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	477.687851	515.242626	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	475.568127	512.222907	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	472.013491	508.768277	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	463.271930	499.126721	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	451.962989	487.917784	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	440.353899	476.408698	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	430.294840	465.449614	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
