time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	508.851167	-9.250000	2064.104025	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	425.837826	2.274843	2139.417513	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	964.177531	553.950550	2171.122441	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	963.021567	558.470851	2102.004431	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	975.051991	557.600032	2129.152258	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	952.653520	547.499860	2095.756633	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	785.607567	435.634684	2094.784524	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	953.266427	547.312752	2095.756298	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	661.692727	0.000000	2095.637328	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	662.412857	0.000000	2095.637349	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	949.981459	542.337416	2095.708923	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	576.933805	0.000000	2100.190128	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	664.987992	0.000000	2095.906347	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	667.254630	0.000000	2095.906249	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	579.198022	0.000000	2100.811141	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	669.742687	0.000000	2050.961239	4929.435855	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	401.329072	0.000000	2111.020261	2184.319700	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	647.457245	0.000000	2094.630515	4853.894229	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	646.965838	0.000000	2094.630164	4846.998588	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	426.906217	466.705509	24.287508	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	443.293396	471.227444	24.287508	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	435.131873	474.094335	24.287508	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	428.960332	468.273957	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	928.440045	493.104253	38.844467	4660.399376	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	444.615680	483.074755	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	443.212771	480.771863	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	457.555483	493.842044	24.287508	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	445.118491	480.505066	24.287508	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	443.053975	478.540567	24.287508	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	435.180337	470.766950	24.287508	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.0	428.749751	465.050638	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	406.689160	443.090074	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	394.223437	429.724358	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
