time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	511.597353	-9.250000	2091.703949	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	428.177647	2.184387	2163.865635	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	969.383168	556.291228	2200.243367	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	967.891583	560.918830	2126.623267	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	980.387277	560.051517	2158.464691	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	831.702165	449.136602	2093.750416	2117.032871	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	804.957498	438.904828	2153.913499	1874.833062	36.000000	0.000000	1	0	1	0	1	0	0	0
0.7	790.732869	438.448878	2115.666034	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	617.671185	0.000000	2112.533131	4489.296307	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	617.131315	0.000000	2112.533221	4490.154233	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	619.620380	0.000000	2112.532408	4513.406953	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	617.855128	0.000000	2112.531518	4487.073510	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	620.043354	0.000000	2112.530987	4511.296398	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	619.076717	0.000000	2112.530643	4486.502010	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	528.405282	0.000000	2116.748871	3568.236168	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	617.185986	0.000000	2112.251592	4463.679522	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	616.822833	0.000000	2112.251106	4460.703458	31.000000	0.000000	1	0	1	0	0	0	0	0
1.7	617.190493	0.000000	2112.250370	4457.079522	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	609.252892	0.000000	2113.538535	4447.025672	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	373.797154	414.612230	21.368534	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	582.743110	0.000000	2113.578163	4165.713218	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	580.507887	0.000000	2113.576935	4151.693646	38.000000	0.000000	1	0	1	0	0	0	0	0
2.2	389.849871	428.945453	21.368534	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	553.985163	0.000000	2114.127860	3873.900508	36.000000	0.000000	1	0	1	0	0	0	0	0
2.4	394.123653	432.411358	21.368534	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.5	530.374102	0.000000	2115.034638	3616.927327	35.000000	0.000000	1	0	1	0	0	0	0	0
2.6	576.607298	420.680956	14.509213	1957.533612	35.000000	0.000000	0	0	0	0	0	0	0	0
2.7	406.577769	444.152756	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	418.903823	455.501443	21.368534	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.9	407.274982	442.972605	21.368534	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.0	414.646921	451.210222	21.368534	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
3.1	2322.003309	2357.666625	21.368534	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.2	398.543730	434.307046	21.368534	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.3	387.225745	422.089071	21.368534	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
3.4	372.493043	407.456383	21.368534	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
