time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	431.358431	2.715443	2183.862540	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	421.104533	-7.438501	2183.861706	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	772.209417	573.174029	2204.404325	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	816.746260	456.724215	2216.837552	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	771.771508	572.287216	2201.137126	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	761.133818	560.772101	2199.635388	258.101642	37.000000	0.000000	1	0	1	0	1	0	0	0
0.6	794.969645	440.885150	2146.836536	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	806.824981	451.875798	2144.550091	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	953.281190	541.381469	2145.414555	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	631.689052	0.000000	2142.780778	4609.670321	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	950.872044	538.178779	2145.383308	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	643.885704	0.000000	2143.543983	4725.358047	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	548.669752	0.000000	2147.428251	3758.080125	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	945.464773	531.086712	2145.309738	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	385.649163	0.000000	2153.092544	2107.151485	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	632.712381	448.297032	22.838062	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	394.173298	0.000000	2118.048647	2202.244237	31.000000	0.000000	1	0	0	0	0	0	0	0
1.7	406.184227	0.000000	2151.688921	2195.617222	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	606.932109	0.000000	2142.224234	4392.627956	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	391.343867	433.220845	11.562317	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	581.431933	0.000000	2142.419887	4124.831578	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	581.131860	0.000000	2142.418970	4123.944411	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	403.858981	444.017516	11.562317	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	421.839292	450.188278	11.562317	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	399.456099	438.752882	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	396.143936	434.540731	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	395.311760	432.808565	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	393.073542	430.670357	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	392.839486	429.536312	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	390.052717	426.849553	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	387.047135	423.943980	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	2436.462663	0.000000	22786.756250	2042.410504	12.000000	0.000000	1	0	0	0	0	0	0	2
3.2	415.651090	451.510712	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	396.480420	431.440045	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	384.852416	419.912069	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
