time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	315.870513	2.369725	2832.247680	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	305.623363	-7.777469	2832.246844	578.313739	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	617.162881	331.249527	2794.012907	551.601859	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	617.971981	331.158466	2794.012300	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	617.768300	331.054742	2794.012139	551.601859	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	618.534104	330.920319	2794.011288	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	618.339575	330.825565	2794.010445	551.601859	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	619.081653	330.667395	2794.009513	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	618.868452	330.553632	2794.007410	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
0.9	618.401529	330.186702	2794.007383	551.601859	36.000000	0.000000	1	0	1	0	0	0	0	0
1.0	500.710150	0.000000	2826.019651	2618.828755	35.000000	0.000000	1	0	1	0	0	0	0	0
1.1	503.104208	0.000000	2826.017037	2636.342809	35.000000	0.000000	1	0	1	0	0	0	0	0
1.2	623.645751	0.000000	2821.590397	3850.534315	35.000000	0.000000	1	0	1	0	0	0	0	0
1.3	505.154484	0.000000	2826.300411	2668.588142	35.000000	0.000000	1	0	1	0	0	0	0	0
1.4	504.709368	0.000000	2826.299909	2645.423436	34.000000	0.000000	1	0	1	0	0	0	0	0
1.5	506.923113	0.000000	2826.295922	2663.628813	34.000000	0.000000	1	0	1	0	0	0	0	0
1.6	506.490909	0.000000	2826.295746	2666.627620	33.000000	0.000000	1	0	1	0	0	0	0	0
1.7	613.304387	0.000000	2820.029529	3730.609472	33.000000	0.000000	1	0	1	0	0	0	0	0
1.8	509.148021	0.000000	2826.714579	2686.515955	33.000000	0.000000	1	0	1	0	0	0	0	0
1.9	506.035037	0.000000	2826.716093	2644.030854	32.000000	0.000000	1	0	1	0	0	0	0	0
2.0	502.940470	6.490917	2787.443202	2498.522726	32.000000	0.000000	1	0	1	0	0	0	0	0
2.1	852.094293	428.867646	2786.525719	1874.833062	31.000000	0.000000	1	0	1	0	0	0	0	0
2.2	493.328568	-3.920981	2787.443202	2498.522726	31.000000	0.000000	1	0	1	0	0	0	0	0
2.3	493.928489	-4.221059	2787.443202	2498.522726	30.000000	0.000000	1	0	1	0	0	0	0	0
2.4	855.433657	274.402272	2793.216755	3393.265656	39.000000	0.000000	1	0	1	0	0	0	0	0
2.5	577.512087	620.657624	0.000000	15.297885	39.000000	0.000000	0	0	0	0	0	0	0	0
2.6	855.125029	578.853255	2773.533748	446.652345	38.000000	0.000000	1	0	1	0	0	0	0	0
2.7	586.053663	4.402855	2791.604043	3393.265656	38.000000	0.000000	1	0	1	0	0	0	0	0
2.8	586.697920	309.146747	2784.187398	446.652345	37.000000	0.000000	1	0	1	0	0	0	0	0
2.9	695.127899	685.596818	22.975295	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
3.0	686.198960	675.767862	22.975295	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
3.1	686.406462	676.075353	22.975295	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
3.2	686.162799	674.931680	22.975295	504.901058	35.000000	0.000000	0	0	1	0	0	0	0	0
3.3	623.425499	455.136614	37.249672	1957.533612	35.000000	0.000000	0	0	1	0	0	0	0	0
3.4	613.792480	444.603589	37.249672	1957.533612	34.000000	0.000000	0	0	1	0	0	0	0	0
3.5	612.971139	443.882246	37.249672	1957.533612	34.000000	0.000000	0	0	1	0	0	0	0	0
3.6	586.671604	0.000000	2796.331817	3382.568643	33.000000	0.000000	1	0	1	0	0	0	0	0
3.7	574.446767	0.000000	2796.331910	3364.018345	33.000000	0.000000	1	0	1	0	0	0	0	0
3.8	572.968863	0.000000	2796.331650	3344.859744	32.000000	0.000000	1	0	1	0	0	0	0	0
3.9	572.721037	0.000000	2796.330230	3331.135719	32.000000	0.000000	1	0	1	0	0	0	0	0
4.0	570.564316	0.000000	2796.328108	3319.073406	32.000000	0.000000	1	0	1	0	0	0	0	0
4.1	567.003629	0.000000	2796.327496	3285.058878	31.000000	0.000000	1	0	1	0	0	0	0	0
4.2	565.417367	0.000000	2796.325792	3263.311161	31.000000	0.000000	1	0	1	0	0	0	0	0
