time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.585269	1.570796	7.706000	-2.940000	3.000000
0.300000	-1.750000	192.341103	1.570796	7.412000	-2.940000	3.000000
0.400000	-1.750000	193.067546	1.570796	7.118000	-2.940000	3.000000
0.500000	-1.750000	193.764638	1.570796	6.824000	-2.940000	3.000000
0.600000	-1.750000	194.432262	1.570796	6.530000	-2.940000	3.000000
0.700000	-1.750002	195.070838	1.570839	6.280238	0.980000	2.000000
0.800000	-1.750700	195.703787	1.573647	6.378238	0.980000	2.000000
0.900000	-1.754552	196.346527	1.580465	6.476238	0.980000	2.000000
1.000000	-1.764014	196.999007	1.590504	6.574238	0.980000	2.000000
1.100000	-1.780951	197.656209	1.602837	6.574238	0.000000	4.000000
1.200000	-1.806469	198.313131	1.616462	6.574238	0.000000	4.000000
1.300000	-1.841105	198.969636	1.630457	6.574238	0.000000	4.000000
1.400000	-1.884799	199.625601	1.643926	6.574238	0.000000	4.000000
1.500000	-1.936911	200.280952	1.656005	6.574238	0.000000	4.000000
1.600000	-1.996247	200.935690	1.665859	6.574238	0.000000	4.000000
1.700000	-2.061079	201.589908	1.672694	6.574238	0.000000	4.000000
1.800000	-2.129183	202.243794	1.675768	6.574238	0.000000	4.000000
1.900000	-2.197874	202.897620	1.674417	6.574238	0.000000	4.000000
2.000000	-2.264550	203.556604	1.668016	6.672238	0.980000	2.000000
2.100000	-2.325607	204.221024	1.655959	6.672238	0.000000	4.000000
2.200000	-2.376984	204.891192	1.637713	6.770238	0.980000	2.000000
2.300000	-2.414178	205.567175	1.612819	6.770238	0.000000	4.000000
2.400000	-2.432237	206.243928	1.581141	6.770238	0.000000	4.000000
2.500000	-2.426578	206.920884	1.542838	6.770238	0.000000	4.000000
2.600000	-2.392875	207.597008	1.498328	6.770238	0.000000	4.000000
2.700000	-2.327108	208.270753	1.447899	6.770238	0.000000	4.000000
2.800000	-2.225529	208.940017	1.391729	6.770238	0.000000	4.000000
2.900000	-2.088156	209.587743	1.331346	6.476238	-2.940000	3.000000
3.000000	-1.914652	210.211568	1.267300	6.476238	0.000000	4.000000
3.100000	-1.700134	210.822485	1.198576	6.476238	0.000000	4.000000
3.200000	-1.442836	211.416633	1.125398	6.476238	0.000000	4.000000
3.300000	-1.141561	211.989715	1.047976	6.476238	0.000000	4.000000
